,textID,text,selected_text,sentiment
6625,9937fa651b, Flew home from London to NI to catch up with the family and caption a show ... Everyone went to bed early and left me!!,Flew home from London to NI to catch up with the family and caption a show ... Everyone went to bed early and left me!!,neutral
6626,90dc2283ca,__ thank You! I almost forgot hoe to type on the keyboard how long I was anway from my PC..,__ thank You! I almost forgot hoe to type on the keyboard how long I was anway from my PC..,neutral
6629,509e97575f, you wish,you wish,neutral
6631,2005f1cf47, yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff,yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff,neutral
6633,e84d69675c," It's all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places","It's all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places",neutral
6635,70c7892835,"in school, wants to read Eclipse, 200-and-some-60 pages read","in school, wants to read Eclipse, 200-and-some-60 pages read",neutral
6637,7cf5fac953,It's teacher appreciation week - been out making deliveries to instructors this morning,It's teacher appreciation week - been out making deliveries to instructors this morning,neutral
6639,eb2c5418a4,Where did everyone go?? boo got no-one to twitter on to now  Wonder if I can con some innocent un-suspecting people into talking to me??,Where did everyone go?? boo got no-one to twitter on to now  Wonder if I can con some innocent un-suspecting people into talking to me??,neutral
6642,06a6896e62,paris 2moro!! i have to pack...ill wake up at 8  yes: dance lesson at 9 !!,paris 2moro!! i have to pack...ill wake up at 8  yes: dance lesson at 9 !!,neutral
6643,18b6c5e018,Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique,Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique,neutral
6646,a8aa416961,fellow twitterers. if anyone one has a leather jacket for the size of a fat person (aka me) please let me borrow it.,fellow twitterers. if anyone one has a leather jacket for the size of a fat person (aka me) please let me borrow it.,neutral
6652,83f6616e1a, #sometimes also emoticons sometimes,#sometimes also emoticons sometimes,neutral
6653,af9f223e1f,"so much for a day off- I've been on my feet, all over the place, all day!","so much for a day off- I've been on my feet, all over the place, all day!",neutral
6659,5b0d341d2b,nothing,nothing,neutral
6667,a79f914fb9,another friday night with nothing to do ...boyfriend works until 1am,another friday night with nothing to do ...boyfriend works until 1am,neutral
6670,588e531efe, Moooorning! Fancy a coffee?,Moooorning! Fancy a coffee?,neutral
6671,a4c8f91774," yes I can talk friench and in my picture this is me in france !!  Now , i'm in london and soon i'm going to L.A","yes I can talk friench and in my picture this is me in france !!  Now , i'm in london and soon i'm going to L.A",neutral
6672,e331bde9e7,Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,Friday!!!!!!!!!! Wooo and nothing to do.  Nuggets better pull it off tonight.,neutral
6673,7ab6fa953a, But I am with you... I hate doing it... can't we just make music and magically not have to worry about money  awe... sigh...LOL,But I am with you... I hate doing it... can't we just make music and magically not have to worry about money  awe... sigh...LOL,neutral
6674,756df878dd,_carter Vid is marked private..,Vid is marked private..,neutral
6675,05f6e08bf9,will deplurk too. buhbyeee  http://plurk.com/p/rp3ir,will deplurk too. buhbyeee  http://plurk.com/p/rp3ir,neutral
6681,366cc0d7ac,"_____ re:firmware. Heh, just a coincidence. I didn't do anything. Maybe the SW guys heard you?","re:firmware. Heh, just a coincidence. I didn't do anything. Maybe the SW guys heard you?",neutral
6684,840a19bc35,"spent the whole day editing in Pro Tools...i luvvv this thing and am becoming quite the pro, but it gives me insane headaches.","i luvvv this thing and am becoming quite the pro, but it gives me insane headaches.",neutral
6687,1bd579e2a6,Finally on my way home,Finally on my way home,neutral
6689,a5cbe88f19, Flo is one of my Backup wives in case Renae gets abducted by Aliens or Russians. But if Flo's pregnant it changes things,Flo is one of my Backup wives in case Renae gets abducted by Aliens or Russians. But if Flo's pregnant it changes things,neutral
6695,39d0dd9215,Off to get Bailey's tongue clipped,Off to get Bailey's tongue clipped,neutral
6705,24d79167f7, My friend and I have a request that you play Nothing Sir when you hit Perth on Tues. From Jazz and Charni,My friend and I have a request that you play Nothing Sir when you hit Perth on Tues. From Jazz and Charni,neutral
6708,a13f1ded20, voting has closed,voting has closed,neutral
6711,8d1ab2e696,goodnight world.... goodnight eddplant.,goodnight world.... goodnight eddplant.,neutral
6712,bb21279826,Going to bed  Goodnight  xox,Going to bed  Goodnight  xox,neutral
6713,798bb6bc55,_Laurie sorry to hear about a horrible weekend! It can only get better! Keep smiling.,sorry to hear about a horrible weekend! It can only get better! Keep smiling.,neutral
6715,f2e59ef473," I have been subtly replacing it with &quot;penetration testing&quot; when I see it, but nobody's caught on yet.","I have been subtly replacing it with &quot;penetration testing&quot; when I see it, but nobody's caugh",neutral
6721,8aa4944fec,Nice action shot: http://bit.ly/m8zfx   I miss working a pole.,Nice action shot: http://bit.ly/m8zfx   I miss working a pole.,neutral
6722,99a4e6357d,"hey there  how are you going? looking forward to weekend, sadly im workin both sat sun","hey there  how are you going? looking forward to weekend, sadly im workin both sat sun",neutral
6726,ef11737b25,yeah  just made twitter,yeah  just made twitter,neutral
6728,55a69c1bfe," yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO","yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO",neutral
6729,09673894b0,http://twitpic.com/4wk9i - I should really try a different pose some time.,http://twitpic.com/4wk9i - I should really try a different pose some time.,neutral
6732,1a62205df0,"I'd respond, if I were going","I'd respond, if I were going",neutral
6735,1375e54e9d,"Finally made it through Dead Space, that only took half a year","Finally made it through Dead Space, that only took half a year",neutral
6736,d5b945f9bc,pool is still closed  and it is cloudy. what should i cook tonight?,pool is still closed  and it is cloudy. what should i cook tonight?,neutral
6738,bbed9a42b0,"I had a dream that I went to Evo fest, but I didn't.","I had a dream that I went to Evo fest, but I didn't.",neutral
6745,fbc0f03d51, oh..keep working on it..you can always make it a little smaller,oh..keep working on it..you can always make it a little smaller,neutral
6746,2315a43aab,why did Reel big fish cover Edna's goldfish,why did Reel big fish cover Edna's goldfish,neutral
6748,20771a6d9a,"So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!","So anyone looking for a vinyl-clad playset with a 30 year mfr warranty? 3 slides, 4 swing slots, rock climbing wall, more! Amish built!",neutral
6750,dcacc9ef8f,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...,They just layed off 23 teachers in the city near me  I wonder if I should be thinking about not going into that jobfield...,neutral
6751,aebcb91e4a,"10pm tonight, International Space Station will by over head, through most of Texas at least","10pm tonight, International Space Station will by over head, through most of Texas at least",neutral
6754,36ff6aaafd,heading to work,heading to work,neutral
6762,1ec241a035,  Tell Brad I said hi!    Drink and sing for me and Morgan.,Tell Brad I said hi!    Drink and sing for me and Morga,neutral
6766,5cba1be393, thanks for following me  but who are you? hmmmm... twitter back !! ox,thanks for following me  but who are you? hmmmm... twitter back !! ox,neutral
6767,b6ad9e9b07, will you be posting a pic of you H suit?? Pretty please?,will you be posting a pic of you H suit?? Pretty please?,neutral
6772,e2da24cd20, OK!  ~ you are such a wild one - can only imagine this one...,OK!  ~ you are such a wild one - can only imagine this one...,neutral
6774,d33d7fde34,Created a new album on my Facebook for my Phantom cross stitch  I want to track my own progress so I feel like I am getting something done,Created a new album on my Facebook for my Phantom cross stitch  I want to track my own progress so I feel like I am getting something done,neutral
6775,1442cbc18f, no money no honey! hehe too soon  sorry,no money no honey! hehe too soon  sorry,neutral
6776,3bcc9762c5," _diva I know, I know...lol   That is the ONE song that stops me in my tracks on a dancefloor.  I just can't...lol","_diva I know, I know...lol   That is the ONE song that stops me in my tracks on a dancefloor.  I just can't...l",neutral
6778,67d4698d92," hey! haha, yep! that was me! negative comments get me reallllyyy mad; so i always defend them!  haha!","hey! haha, yep! that was me! negative comments get me reallllyyy mad; so i always defend them!  haha!",neutral
6780,545d3acace,sad day!!!!! Love you Maï¿½ (8 years ago!),sad day!!!!! Love you Maï¿½ (8 years ago!),neutral
6783,2abd17d7fe, hey is there a way u can make a somatic theme for leopard? some themes have installers already that are shapeshifter independent,hey is there a way u can make a somatic theme for leopard? some themes have installers already that are shapeshifter independent,neutral
6785,8a79072ca2,is texting,is texting,neutral
6789,96dfa37fd8,its too early to be up,its too early to be up,neutral
6791,63ba3bb6a0, school and work that's it really. what about u? still in sac? or am I a tittle late,school and work that's it really. what about u? still in sac? or am I a tittle late,neutral
6792,ed152aee65,is now writing 100-word newsbites  http://plurk.com/p/wyb4h,is now writing 100-word newsbites  http://plurk.com/p/wyb4h,neutral
6796,3cd39dd796,aight im out. off to see Spring Awakening. home we make it home in time to see Jay's last show,aight im out. off to see Spring Awakening. home we make it home in time to see Jay's last show,neutral
6799,d64bb16cc4," I've been busy and chained to my laptop  I'll be at Webcom Wed afternoon, then likely Yul Blog. See you there?","I've been busy and chained to my laptop  I'll be at Webcom Wed afternoon, then likely Yul Blog. See you there?",neutral
6801,48d160c6dc,"Is playing bubblewrap on her iPhone. Over and over and over again. Still, beats working...","Is playing bubblewrap on her iPhone. Over and over and over again. Still, beats working...",neutral
6802,b306fd90d5,"  aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered","aaah k..am like a fan incarnated,so kinda like a mutant. till date, Ghalib has never *yet* left my questions unanswered",neutral
6804,9802befdec," #avatarcamp photos, perhaps?  lol (just itching to see them!)","#avatarcamp photos, perhaps?  lol (just itching to see them!)",neutral
6805,99ce44080e,twittascope is NOT rocking my socks - go away already!!,NOT rocking my socks - go away already!!,neutral
6807,33231252fd," That's cause Ovie is the one man team and when they show Pens highlights, it's the whole because we have more than 1 superstar","That's cause Ovie is the one man team and when they show Pens highlights, it's the whole because we have more than 1 superstar",neutral
6808,e4a1945972,Just finished watching &quot;Marley and Me&quot;,Just finished watching &quot;Marley and,neutral
6810,aff1e49459,"AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week.","AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week.",neutral
6811,a05d814df2, hehe--sorry.  I've never been very good at blending in...,hehe--sorry.  I've never been very good at blending in...,neutral
6815,6f3ca88a83, I wish.,I wish.,neutral
6820,16b4cae29a, I may be in the US for it in which case I'll attend but if its off my own back I can't afford to go,I may be in the US for it in which case I'll attend but if its off my own back I can't afford to go,neutral
6822,14121b5602,I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,neutral
6823,7a2a426854, all is quiet in twitterland 2day.,all is quiet in twitterland 2day.,neutral
6826,e70193dad3, we are coming...won't be there til around 9....can't stay though,we are coming...won't be there til around 9....can't stay though,neutral
6827,1f4846165f, I missed out on carrot cake last night.  Hope you had fun .,I missed out on carrot cake last night.  Hope you had fun .,neutral
6829,8d1e51c65b,  Then Google Vs. Twitter . Mother's Day Vs. Mothers Day . . Mother's Day - web1.0 type. Mothers Day is Social Media -web2.0,Then Google Vs. Twitter . Mother's Day Vs. Mothers Day . . Mother's Day - web1.0 type. Mothers Day is Social Media -web2.0,neutral
6835,02143c83b4,Movie night with kate,Movie night with kate,neutral
6837,051bfd11d2, yeah and in the tatami room!  kids + tatami dont mix,yeah and in the tatami room!  kids + tatami dont mix,neutral
6838,cb9c2090aa, it'll probably come out like I'm drunk or something...I'll be so nervous!! LOL...thats why we will be there to help eachother,it'll probably come out like I'm drunk or something...I'll be so nervous!! LOL...thats why we will be there to help eachother,neutral
6842,123b8391b0, me too  Thats why im driving down to Cali in July for HIN Pleasanton.,me too  Thats why im driving down to Cali in July for HIN Pleasanton.,neutral
6860,777b6daede,"  I think your friend is thinking of Jonathan, not Danny","I think your friend is thinking of Jonathan, not Danny",neutral
6861,ef55b990e7, we are going all out!,we are going all out!,neutral
6863,361f6aa134,About to go pick up my roomate from the airport....no more house to myself.,About to go pick up my roomate from the airport....no more house to myself.,neutral
6864,7a837cdd87,Back from Worcester.  My work week starts on Friday at 2:30.,Back from Worcester.  My work week starts on Friday at 2:30.,neutral
6865,f335dbc0cb,nothin to do,nothin to do,neutral
6866,8fdd5f2cf1,_  Leiiin I can play the introoo,_  Leiiin I can play the introoo,neutral
6868,77c3844210,Has Ruth today,Has Ruth today,neutral
6869,4dc7327dd8,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has","is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral
6870,d50a063a6d,"ok, I want to quit my job.....","ok, I want to quit my job.....",neutral
6874,52dc330ff4, What are we doin!!?? Tell me! tell me!,What are we doin!!?? Tell me! tell me!,neutral
6875,407e9cfae4,I only hve 9followers,I only hve 9followers,neutral
6878,520d782e5e," Just been in that kind of mood, not reason at all. Lol, but I'll try not to be too mushy around you!  I can behave!","Just been in that kind of mood, not reason at all. Lol, but I'll try not to be too mushy around you!  I can behave!",neutral
6880,3675ceeedd,Did you know call of duty has a scenario game called &quot;Nazi zombies?&quot; it's awesome and scary at the same time,es?&quot; it's awesome and scary at the,neutral
6881,4a1ce7dc3b,Night of the cookers with my dad,Night of the cookers with my dad,neutral
6883,fef84373a2,  cuss u siad u weren't having it...lol,cuss u siad u weren't having it...lol,neutral
6884,7dc67e70d1, I can't have any.,I can't have any.,neutral
6885,f77d9cff27, haha neither am I. It doesn't matter though you guys do what you want,haha neither am I. It doesn't matter though you guys do what you want,neutral
6886,d3960d0cf0,"haven't twittered in forever. yeah, just had my sixteenth birthday party tonight","haven't twittered in forever. yeah, just had my sixteenth birthday party tonight",neutral
6888,c241e538b3,MY CAR IS ALMOST DEFINATELY GOING TO BE WRITTEN OFF! THE GARAGE RANG AND SAID THE WORK WILL COST 3K AND ITS UP TO THE INSURANCE CO,MY CAR IS ALMOST DEFINATELY GOING TO BE WRITTEN OFF! THE GARAGE RANG AND SAID THE WORK WILL COST 3K AND ITS UP TO THE INSURANCE CO,neutral
6890,41e49a464e,"at work, with a swollen face  thank god it's kohls though. I'm feelin fat. flip flops are about to break annnnd I get my hair done tonight","at work, with a swollen face  thank god it's kohls though. I'm feelin fat. flip flops are about to break annnnd I get my hair done tonight",neutral
6893,26ab46f249,"Welcome  !!! Let me suggest to you  and . You'll love 'em! In other news, my algae fish died today","Welcome  !!! Let me suggest to you  and . You'll love 'em! In other news, my algae fish died today",neutral
6896,f9f6468f2c,Por Favor!!! Only need FIVE more!  http://tinyurl.com/dzcpg3,Por Favor!!! Only need FIVE more!  http://tinyurl.com/dzcpg3,neutral
6897,6cd5fb5782,Updated blog. Shows You Should Be Watching: The Unusuals http://digg.com/u12w7c Go check it out,Updated blog. Shows You Should Be Watching:,neutral
6899,aee14b9638,I was waitin' so many new and good songs about the end but I didnt like it so much,I was waitin' so many new and good songs about the end but I didnt like it so much,neutral
6900,e558b49f1f,. Well gotdamn girl!!! I dont know what else!!!!  I'm sleepy again! Grrr,. Well gotdamn girl!!! I dont know what else!!!!  I'm sleepy again! Grrr,neutral
6901,b3047d288a,Moment over.... fly now in car,Moment over.... fly now in car,neutral
6904,e27a4192a9,Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!!,Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!!,neutral
6905,2d491261d3, haha it's great. but i slept horribly last night.,haha it's great. but i slept horribly last night.,neutral
6906,f3376dfd65, yes dear....  ... I'm opff bbl8r,yes dear....  ... I'm opff bbl8r,neutral
6912,4e5ab3d1f9,"_lou27 i have moved through to edinburgh from glasgow - new flat, no phone line or broadband","_lou27 i have moved through to edinburgh from glasgow - new flat, no phone line or broadband",neutral
6917,773d07a2b9,#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,neutral
6921,9a522ffbc0,big shout out to all my home girls you know who you are,big shout out to all my home girls you know who you are,neutral
6923,121b097b0b,Tidied &amp; hoovered the whole flat - and all b4 10am today  Now we're heading out2 German bakery 4 breakfast followed by a walk in the park,Tidied &amp; hoovered the whole flat - and all b4 10am today  Now we're heading out2 German bakery 4 breakfast followed by a walk in the pa,neutral
6924,ab2c0d3294,@__emilyy you guys are the bomb haha,you guys are the bomb haha,neutral
6929,13341ce982, http://twitpic.com/4vp3x - *swoon* Nick looks so cute when he is serious  *faints*,http://twitpic.com/4vp3x - *swoon* Nick looks so cute when he is serious  *faints*,neutral
6930,c10aa2ebea,Haha i bet a man did make heels! Im sorry you hurt though.  I hope you feel better!  ~Livelovesing~,Haha i bet a man did make heels! Im sorry you hurt though.  I hope you feel better!  ~Livelovesing~,neutral
6931,5e31b09d12,i hope i can find a store to take us,i hope i can find a store to take us,neutral
6932,32968e6949,Time flies...and i never got it all right. Why oh why?,Time flies...and i never got it all right. Why oh why?,neutral
6936,11c3aa8182,Weather is back to being great! Shame I have to wait in for my delivery,Weather is back to being great! Shame I have to wait in for my delivery,neutral
6937,a348aea018,"napppinggg, then work 7 - 11","napppinggg, then work 7 - 11",neutral
6941,9ca3b4e1c0, I want to call you but it would cost to much  But Maybe my parents will say okay =D,I want to call you but it would cost to much  But Maybe my parents will say okay =D,neutral
6942,e8e718cb59,finally synced iPod,finally synced iPod,neutral
6944,cbf297925a," ermm, more like a full black upper half.  and some a completley grey","ermm, more like a full black upper half.  and some a completley grey",neutral
6949,9be061d924,_Monstr  u may try Prism http://prism.mozilla.com/,_Monstr  u may try Prism,neutral
6954,5ad6426acd,just had KFC,just had KFC,neutral
6956,2f561da8bc,is new to twitter and has no friends here... or should i say followers?,is new to twitter and has no friends here... or should i say followers?,neutral
6957,b35daf9677,"Okay, this weather isn't &quot;cute sundress&quot; friendly. I dont get how it could be so warm one minute and cold the next. I was freezing","Okay, this weather isn't &quot;cute sundress&quot; friendly. I dont get how it could be so warm one minute and cold the next. I was",neutral
6958,f63c991bbb,really want to go to the nets,really want to go to the nets,neutral
6959,5c8923261d,", ,  and  i think you should come home now",", ,  and  i think you should come home now",neutral
6961,2970bde3a1, Not by choice.  I have to use it for that one project that never ends!,Not by choice.  I have to use it for that one project that never ends!,neutral
6963,f3e5658161,i am ****...**** you lucas at your czech republic beer that tastes like heaven in a bottle!! Your amazing,i am ****...**** you lucas at your czech republic beer that tastes like heaven in a bottle!! Your amazing,neutral
6964,b2776c2690,I just filled out the forms to stop contributing to the retirement account i had set up with my employer  I have to pay off my credit card,I just filled out the forms to stop contributing to the retirement account i had set up with my employer  I have to pay off my credit card,neutral
6966,8f8a38f144,_Lia  Are the drugs working?,Are the drugs working?,neutral
6968,01efe51f51, internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone,internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone,neutral
6969,142ecacafc, Pfftt... I wish. Don't have time though.,Pfftt... I wish. Don't have time though.,neutral
6970,fe0abe1754,twittering after 2 days!,twittering after 2 days!,neutral
6975,49486e3b2d, AHHH you follow the dark side too..  night,AHHH you follow the dark side too..  night,neutral
6978,5c08f9490f,On the way home.,On the way home.,neutral
6981,6b8107caab,buy one of my shirts at http://www.districtlines.com/revertfashion you know you want to,buy one of my shirts at http://www.districtlines.com/revertfashion you know you want to,neutral
6983,8f169308ec, silly wendy. You know I don't speak French  just a few more hours to study before this ride begins!,silly wendy. You know I don't speak French  just a few more hours to study before this ride begins!,neutral
6984,1d53a88985,Morning all: Looks like no Nintendo Gameboy phone,Morning all: Looks like no Nintendo Gameboy phone,neutral
6987,ac1bb1d544, PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don't see anything close anytime soon.,PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don't see anything close anytime soon.,neutral
6989,490d822c76,"So there aren't anymore exams, but there is only 3 days left. I've just now relized this is a bad thing.  And a good thing. I dont know.",I've just now relized this is a bad thing.  And a good thing. I dont know.,neutral
6990,d7fd58d79a,working weekend it looks like,working weekend it looks like,neutral
6992,923edab455,Wish I didn't have to work today.,Wish I didn't have to work today.,neutral
6994,2c7965a544,_bishop  sez need to get u to look at my flights again  will email ur work tonite,_bishop  sez need to get u to look at my flights again  will email ur work tonite,neutral
6999,2f05c39046,"is exhausted from a great weekend, and is looking forward to this week","is exhausted from a great weekend, and is looking forward to this week",neutral
7001,8d015c2747, http://twitpic.com/4jjdx - Soak your had in hot water (but not boiling) for about 30mins - it'll pull them right out,Soak your had in hot water (but not boiling) for about 30mins - it'll pull them right out,neutral
7007,38c25280f1,"  We are of like minds this evening , my dear!","We are of like minds this evening , my dear!",neutral
7012,63a38db144," snitchsneeker photos were cool -but, dang, what's up with all the comments about your chest hair - that's just creepy","snitchsneeker photos were cool -but, dang, what's up with all the comments about your chest hair - that's just creepy",neutral
7013,c72817a0b7,currently watching American Idol,currently watching American Idol,neutral
7015,a15bd06ed8,You know you're too old to party like a rockstar when....you realize no one else claps when they dance. It's just you,You know you're too old to party like a rockstar when....you realize no one else claps when they dance. It's just you,neutral
7017,215a59dfc1, i want cafe latteeeeeeeeeee,i want cafe latteeeeeeeeeee,neutral
7018,ab268b8073," Yup, indeed, like train announcements: Shortly we will arrive in Kï¿½lle","Yup, indeed, like train announcements: Shortly we will arrive in",neutral
7019,e5d82ac202, Actually there was this other guy I thought I didn't know but turns out I DID know from a previous party...,Actually there was this other guy I thought I didn't know but turns out I DID know from a previous party...,neutral
7020,0009df8104,"How come it's so cold now?! A few days ago it was wicked nice out, now I feel like I need my winter coat back.","How come it's so cold now?! A few days ago it was wicked nice out, now I feel like I need my winter coat back.",neutral
7022,63a625e0f6, Yeah same,Yeah same,neutral
7023,b7d4f08524, that's cold,that's cold,neutral
7024,ff6f7cbaeb,Ug. Full of cold and in a dark pub. Want to go outside,Ug. Full of cold and in a dark pub. Want to go outside,neutral
7025,d1e72cce2f,Right now on my Justin.tv channel: 10 weeks until my gf has a newborn  www.justin.tv/kubbur?20,Right now on my Justin.tv channel: 10 weeks until my gf has a newborn  www.justin.tv/kubbur?20,neutral
7026,d2602ed4a4,10 out of 40 done... everyone is going to be home drinking beer starting next week,10 out of 40 done... everyone is going to be home drinking beer starting next week,neutral
7031,52ce8dd1ee," Philippines tour, please? Please? Please?","Philippines tour, please? Please? Please?",neutral
7034,8ca499152a, Well im hving another one today yey,Well im hving another one today yey,neutral
7035,21b0d23afc,Watching QI on Dave - still quite bored! Not even Adam Davis can cheer me up.  And he's quite funny.,Watching QI on Dave - still quite bored! Not even Adam Davis can cheer me up.  And he's quite funny.,neutral
7044,b5fe8c6909,OMG that little girl on BGT!!!!!!!!,OMG that little girl on BGT!!,neutral
7045,c9a409bf63,  I'd have read it but I'm not sure you would have wanted my opinion,I'd have read it but I'm not sure you would have wanted my opinion,neutral
7046,7137ed21f3," so which one are you The Good, The Bad or The Ugly","so which one are you The Good, The Bad or The Ugly",neutral
7047,3719082fc8, people still mail things?,people still mail things?,neutral
7048,da87056eef, CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.,CEREAL DOESNT COME WITH TOYS ANYMORE!. i jus been thinkin i was buyin the wrong kinds  say it aint so Mo.,neutral
7054,321ce238e7,On tha' bus,On tha' bus,neutral
7055,e5cf6ef2b5,"waiting for my friend to come over, so we can hang out!","waiting for my friend to come over, so we can hang out!",neutral
7060,cf6ffa7144,time to lie in bed and watch tv,time to lie in bed and watch tv,neutral
7064,b100739bc6,  not,not,neutral
7065,006aed8af9,i really needa find more stastics,i really needa find more stastics,neutral
7067,13654d48b0, awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,neutral
7068,4c1367795d," Yeehah, quality","Yeehah, quality",neutral
7073,0904ee1fa7,im the only ho that didnt go to tigerheat tonite,im the only ho that didnt go to tigerheat tonite,neutral
7079,28b70015d2,"Energy steadily increasing, thankfully, but the cough isn't going away.","Energy steadily increasing, thankfully, but the cough isn't going away.",neutral
7089,4925e8101d,"If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !","If someone have a friendster profy!,.just add me!,.ayt!?,.lol!,.http://bit.ly/UsPlN !",neutral
7090,c59fa3672d, It wasn't loading.,It wasn't loading.,neutral
7091,c7b0ae8767,Nuggets game with everyoneeeee except .,Nuggets game with everyoneeeee except .,neutral
7099,acbda380bf,Last days of maternity leave,Last days of maternity leave,neutral
7101,11938f9eda, no I don't mind Kent it's just my best friend is going there and Im going to miss her,no I don't mind Kent it's just my best friend is going there and Im going to miss her,neutral
7103,5825f93235,"back here, I was busy xD Wirting Stars Loves, almos 400 pages xD and listenint AFH and TV","back here, I was busy xD Wirting Stars Loves, almos 400 pages xD and listenint AFH and TV",neutral
7105,85dbf17e88,"is singing in the rain. Cover your ears, people","is singing in the rain. Cover your ears, people",neutral
7106,fa68e37f5d,Still working in the database and trying to decide what I want to eat.,Still working in the database and trying to decide what I want to eat.,neutral
7108,828741883a,Watching Bleach,Watching Bleach,neutral
7109,67679867cb,2026 2164 6790 9128  Add me up and lets play something.,2026 2164 6790 9128  Add me up and lets play something.,neutral
7115,408c9dcda6," sold out in 6 stores, i don't think so","sold out in 6 stores, i don't think so",neutral
7116,55c4fea474,And it's starting to get cold,And it's starting to get cold,neutral
7117,39f65ac179," don't wait on Red, could be ages. I know what you mean, though. Really looking for a new job","don't wait on Red, could be ages. I know what you mean, though. Really looking for a new job",neutral
7118,7456222d09,just bought 6 new movies,just bought 6 new movies,neutral
7125,0dce386adc,I used to have a remote for my tv.,I used to have a remote for my tv.,neutral
7127,0315f3ec62,Summer is really ending. It's raining.,Summer is really ending. It's raining.,neutral
7128,f15b9929d6, how you get a day off and you still aint hit me.. Where is the lOVE?,how you get a day off and you still aint hit me.. Where is the lOVE?,neutral
7129,7535337013,just got thru watchin  on bones now topping off with House reruns,just got thru watchin  on bones now topping off with House reruns,neutral
7130,4da3756f54," i flew from washington to calfornia , are you still gonna be at the meet&amp;  greet tomorrow ?","i flew from washington to calfornia , are you still gonna be at the meet&amp;  greet tomorr",neutral
7131,8bf20e6006, i see 5 faces in that thing. but no more  ****,i see 5 faces in that thing. but no more  ****,neutral
7134,0765b80116,indian or the cowboy? actually considering going to the carnival,indian or the cowboy? actually considering going to the carnival,neutral
7135,44ae243052,_Nessiah Yeah I will  In fifteen minutes or so.,_Nessiah Yeah I will  In fifteen minutes or so.,neutral
7136,9ef7c50e83,The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,neutral
7139,b232255ef5,Kyle can make fart noises with his armpit,Kyle can make fart noises with his armpit,neutral
7141,11f36369f3,exam at 8.,exam at 8.,neutral
7144,5c6d1a22c4, why thank you. I might just take you up on your offer,why thank you. I might just take you up on your offer,neutral
7145,9c04531c6a, i noo  i went to the zoo instead lol!! ru goin out 2night??? ****,i noo  i went to the zoo instead lol!! ru goin out 2night??? ****,neutral
7146,a27b957970,I'm so worried about my sister's guinea pig. I hope Stalin makes it through tonight!  you can do it baby!!,I'm so worried about my sister's guinea pig. I hope Stalin makes it through tonight!  you can do it baby!!,neutral
7149,bdd13ffcd1,http://twitpic.com/4jax3 - Update Ableton Live,http://twitpic.com/4jax3 - Update Ableton Live,neutral
7151,9465fee9cd,  ive got a cold too... It sucks  and u were awesome in ipswitch xD,ive got a cold too... It sucks  and u were awesome in ipswitch xD,neutral
7152,ee64f8b4fd,had best get revising over da weekend got an exam on Monday for 2 hours!!!!!!!,had best get revising over da weekend got an exam on Monday for 2 hours!!!!!!!,neutral
